2019 Healthiest Communities Rank,Community,"2019 Healthiest Communities Overall Score (out of 100)",Community Vitality,Equity,Economy,Education,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
475,"Nevada County, California",63.1,47.9,50.1,56.8,58.2,68.2,72.4,83.0,40.0,69.6,58.4
476,"Cherokee County, Georgia",63.0,71.9,53.4,79.2,54.1,59.3,45.9,63.9,51.7,65.2,50.8
477,"Brookings County, South Dakota",63.0,37.2,43.7,59.8,60.6,77.2,27.4,81.2,65.6,69.7,90.7
478,"Polk County, North Carolina",63.0,64.0,59.9,50.2,61.4,72.0,57.4,59.7,65.8,59.9,56.9
479,"Carlton County, Minnesota",63.0,60.8,66.9,53.2,47.8,76.5,47.6,66.8,51.4,75.6,62.7
480,"Tooele County, Utah",63.0,54.6,68.5,70.5,39.5,64.1,42.8,58.9,64.4,71.0,73.0
481,"Henry County, Illinois",62.9,55.5,62.0,52.9,47.8,74.3,34.0,68.0,71.8,80.4,63.8
482,"Westchester County, New York",62.9,44.0,9.6,83.3,76.5,61.9,73.4,80.6,35.2,92.2,47.2
483,"Columbia County, Wisconsin",62.9,56.2,61.7,64.3,33.0,67.0,50.3,71.0,62.0,79.6,61.2
484,"Marquette County, Michigan",62.9,49.0,64.1,44.3,53.9,70.2,44.9,75.0,59.4,74.8,75.7
485,"Boone County, Kentucky",62.9,57.3,59.5,75.3,56.7,62.2,21.6,56.4,66.5,57.7,91.9
486,"Weld County, Colorado",62.8,66.7,34.1,72.3,43.5,51.8,59.4,73.4,61.0,69.6,70.6
487,"Pepin County, Wisconsin",62.8,59.3,64.1,47.8,30.2,70.3,66.3,76.6,58.1,74.4,60.8
488,"Archer County, Texas",62.8,56.6,61.4,60.3,66.0,61.7,50.4,52.9,65.8,68.9,62.7
489,"Taylor County, Iowa",62.7,53.3,67.3,51.2,44.7,65.7,54.8,61.8,81.6,73.9,53.9
490,"Knox County, Nebraska",62.7,56.1,58.2,46.4,53.0,60.9,63.7,71.7,73.8,68.4,52.6
491,"Columbia County, New York",62.7,54.5,50.7,60.5,42.0,67.7,75.6,68.4,52.8,79.3,56.9
492,"Strafford County, New Hampshire",62.7,51.1,65.2,67.8,62.9,66.4,54.9,61.2,40.3,69.0,63.9
493,"Giles County, Virginia",62.6,54.9,74.2,51.6,42.1,70.5,54.1,55.7,73.8,73.6,59.3
494,"Broadwater County, Montana",62.6,78.4,71.7,54.9,2.6,79.7,58.1,75.1,61.2,59.6,60.7
495,"Benzie County, Michigan",62.6,74.3,63.4,46.9,32.6,75.1,71.7,61.0,54.3,70.8,59.5
496,"Martin County, Minnesota",62.6,57.8,61.5,52.2,56.1,79.4,35.2,73.0,54.9,71.2,63.8
497,"Henrico County, Virginia",62.6,51.3,42.2,77.9,65.1,48.0,43.8,72.3,55.6,64.9,76.8
498,"Howard County, Nebraska",62.6,60.0,37.8,51.1,55.3,61.6,41.6,74.4,75.1,78.6,73.7
499,"Franklin County, Vermont",62.5,47.3,78.2,59.9,45.0,69.5,55.0,66.3,54.7,71.9,54.2
500,"Sauk County, Wisconsin",62.5,55.5,64.1,56.1,49.0,69.5,46.5,70.0,56.2,71.7,65.4
